(1, 1.5484726428985596)
(2, 2.0891215801239014)
(3, 1.5860354900360107)
(4, 1.505587100982666)
(5, 1.0823750495910645)
(6, 0.55218505859375)
(7, 1.0013723373413086)
(8, 0.7308800220489502)
(9, 0.7998313903808594)
(10, 1.9585456848144531)
(11, 1.9254016876220703)
(12, 1.1486835479736328)
(13, 0.9302210807800293)
(14, 0.6453158855438232)
(15, 0.4014437198638916)
(16, 0.20190834999084473)
(17, 0.3012230396270752)
(18, 0.2299973964691162)
(19, 0.27436089515686035)
(20, 0.11799788475036621)
(21, 0.04199576377868652)
(22, 0.03198885917663574)
(23, 0.01199793815612793)
(24, 0.0039958953857421875)
(25, 0.00499725341796875)
(26, 0.001999378204345703)
(27, 0.0009992122650146484)
(28, 0.001001119613647461)
(29, 0.0)
(30, 0.0)
(31, 0.0009996891021728516)
