(1, 4.503926038742065)
(2, 3.121304988861084)
(3, 1.554638385772705)
(4, 5.10168981552124)
(5, 3.78125)
(6, 2.6784322261810303)
(7, 1.8941445350646973)
(8, 1.6934525966644287)
(9, 1.5488965511322021)
(10, 0.8918826580047607)
(11, 2.091805934906006)
(12, 1.1677141189575195)
(13, 0.7872488498687744)
(14, 0.5561487674713135)
(15, 0.3429253101348877)
(16, 0.24995636940002441)
(17, 0.34403181076049805)
(18, 0.15895843505859375)
(19, 0.11259841918945312)
(20, 0.07090067863464355)
(21, 0.043314218521118164)
(22, 0.027630329132080078)
(23, 0.018030405044555664)
(24, 0.008006095886230469)
(25, 0.005995273590087891)
(26, 0.0030128955841064453)
(27, 0.0024399757385253906)
(28, 0.0010104179382324219)
(29, 0.0)
(30, 0.0009989738464355469)
(31, 0.0)
