(1, 1.1339280605316162)
(2, 1.4330272674560547)
(3, 1.2072558403015137)
(4, 1.167475700378418)
(5, 0.8083913326263428)
(6, 0.42896509170532227)
(7, 0.7132682800292969)
(8, 0.5849967002868652)
(9, 0.588721752166748)
(10, 1.6215484142303467)
(11, 1.4948666095733643)
(12, 0.93961501121521)
(13, 0.6670877933502197)
(14, 0.4754631519317627)
(15, 0.21306920051574707)
(16, 0.14605998992919922)
(17, 0.14302992820739746)
(18, 0.1443166732788086)
(19, 0.13706016540527344)
(20, 0.06509852409362793)
(21, 0.02692723274230957)
(22, 0.017983436584472656)
(23, 0.00909876823425293)
(24, 0.004000425338745117)
(25, 0.001988649368286133)
(26, 0.0010068416595458984)
(27, 0.0)
(28, 0.0009913444519042969)
(29, 0.0009212493896484375)
(30, 0.0)
(31, 0.0)
