(1, 4.425693988800049)
(2, 2.954392194747925)
(3, 1.6099250316619873)
(4, 5.073225975036621)
(5, 3.6881496906280518)
(6, 2.74630069732666)
(7, 1.9646625518798828)
(8, 1.7651071548461914)
(9, 1.4158909320831299)
(10, 0.845458984375)
(11, 2.047813892364502)
(12, 1.2588930130004883)
(13, 0.7928383350372314)
(14, 0.5499129295349121)
(15, 0.34423017501831055)
(16, 0.26335692405700684)
(17, 0.336716890335083)
(18, 0.16109085083007812)
(19, 0.10800433158874512)
(20, 0.0709230899810791)
(21, 0.04735302925109863)
(22, 0.025405168533325195)
(23, 0.015008687973022461)
(24, 0.007040262222290039)
(25, 0.005007266998291016)
(26, 0.0028655529022216797)
(27, 0.00200653076171875)
(28, 0.0010008811950683594)
(29, 0.0)
(30, 0.0010001659393310547)
(31, 0.0010006427764892578)
