(1, 3.9654271602630615)
(2, 6.715499401092529)
(3, 3.0288448333740234)
(4, 3.7194008827209473)
(5, 2.070478677749634)
(6, 1.340033769607544)
(7, 1.9980823993682861)
(8, 1.8186628818511963)
(9, 1.5841360092163086)
(10, 0.6949732303619385)
(11, 0.8391940593719482)
(12, 0.448688268661499)
(13, 0.260300874710083)
(14, 0.3344271183013916)
(15, 0.18657469749450684)
(16, 0.06646537780761719)
(17, 0.08175396919250488)
(18, 0.04454398155212402)
(19, 0.04203176498413086)
(20, 0.0289456844329834)
(21, 0.021994590759277344)
(22, 0.01100015640258789)
(23, 0.008001089096069336)
(24, 0.010003089904785156)
(25, 0.0031974315643310547)
(26, 0.0015306472778320312)
(27, 0.0009684562683105469)
(28, 0.0)
(29, 0.0)
(30, 0.0)
(31, 0.0)
