(1, 11.241750955581665)
(2, 15.039349555969238)
(3, 14.13041067123413)
(4, 12.461567163467407)
(5, 15.65905213356018)
(6, 9.10839056968689)
(7, 3.400432586669922)
(8, 5.3478922843933105)
(9, 3.280857801437378)
(10, 2.4965879917144775)
(11, 2.0384480953216553)
(12, 1.3294899463653564)
(13, 0.715991735458374)
(14, 0.6399521827697754)
(15, 0.5787689685821533)
(16, 0.996589183807373)
(17, 0.46468615531921387)
(18, 0.21376442909240723)
(19, 0.054041385650634766)
(20, 0.05352783203125)
(21, 0.031914472579956055)
(22, 0.02404165267944336)
(23, 0.01983332633972168)
(24, 0.005004405975341797)
(25, 0.0075435638427734375)
(26, 0.0020003318786621094)
(27, 0.0009989738464355469)
(28, 0.0060002803802490234)
(29, 0.0010030269622802734)
(30, 0.0009999275207519531)
